Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),SERP Features
django developer,Informational,210,"0.35,0.54,0.10,0.54,0.54,1.00,0.22,0.43,0.29,0.22,0.22,0.18",51,26.88,"Sitelinks, Video, Video carousel, People also ask, Related searches"
wordpress error,Informational,210,"0.00,0.00,0.00,0.00,0.02,0.00,0.00,1.00,0.02,0.00,0.00,0.00",28,0.00,"Sitelinks, Video, Video carousel, Short videos, People also ask, Related searches"
backend api,Informational,170,"0.35,0.29,0.29,1.00,0.43,0.35,0.35,0.35,0.29,0.22,0.35,0.22",21,7.23,"AI Overview, Image pack, Video, Video carousel, Related searches, Ads bottom"
fix wordpress issues,Informational,170,"0.34,0.28,0.34,0.34,0.43,0.12,0.28,0.65,0.65,0.65,1.00,1.00",18,11.30,"Sitelinks, AI Overview, Video, People also ask, Related searches, Ads bottom, Ads middle"
llm integration,Informational,170,"0.28,1.00,0.21,0.34,0.43,0.53,1.00,0.81,0.21,0.43,0.53,0.81",24,3.83,"Sitelinks, AI Overview, Image, Video, People also ask, Related searches"
telegram scraper,"Informational, Transactional",170,"0.27,0.35,0.35,0.27,0.35,0.42,0.35,0.35,0.27,1.00,0.27,0.17",17,5.20,"Sitelinks, Video, Video carousel, Related searches"
custom ai agent,Informational,140,"0.12,0.05,0.07,0.10,0.05,0.23,0.05,0.53,0.82,0.43,0.82,1.00",71,11.13,"Sitelinks, AI Overview, Image, Video, Video carousel, People also ask, Discussions and forums, Related searches"
wordpress fix,Informational,140,"0.53,0.53,0.42,0.65,0.53,0.11,0.08,1.00,1.00,0.80,1.00,0.80",44,6.83,"Sitelinks, Video, Video carousel, Related searches, Ads bottom"
fix wordpress,Informational,90,"0.33,0.19,0.09,0.09,0.04,0.23,0.23,1.00,0.80,0.66,0.80,0.80",18,15.66,"Sitelinks, Image, Video, Video carousel, Discussions and forums, Related searches, Ads top, Ads bottom"
php web developer,Informational,90,"0.41,1.00,1.00,1.00,0.82,0.41,0.12,0.12,0.12,0.41,0.12,0.41",38,21.29,"Sitelinks, AI Overview, Video, Video carousel, Related searches, Ads bottom"
mvp builder,Commercial,70,"0.36,0.36,0.81,0.64,0.27,0.81,0.45,0.81,0.64,1.00,0.36,0.45",8,8.53,"Sitelinks, Video, Related searches, Ads top, Ads bottom"
core php,Informational,50,"0.11,0.64,1.00,1.00,0.11,0.11,0.11,0.11,0.29,0.11,0.17,0.11",71,0.00,"Sitelinks, Video, People also ask, Related searches"
wordpress bug fix,Informational,50,"0.18,0.18,0.18,0.43,0.25,0.25,0.07,1.00,1.00,0.36,1.00,0.18",25,6.83,"AI Overview, Video, Video carousel, People also ask, Discussions and forums, Related searches, Ads bottom"
wordpress bug,Informational,40,"0.42,0.28,0.28,0.28,0.28,0.28,0.28,1.00,1.00,0.42,1.00,0.28",14,0.00,"Sitelinks, Video carousel, Top stories, Related searches"
fix wordpress errors,"Informational, Transactional",30,"0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.42,0.28,1.00,1.00",14,3.08,"Sitelinks, Video carousel, Discussions and forums, Related searches, Ads bottom"
fix php,Informational,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00",42,0.00,"Sitelinks, Video carousel, Related searches"
flask developer,Commercial,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",18,10.74,"Sitelinks, Video carousel, Jobs, Related searches"
web app backend,Informational,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",16,2.27,"Sitelinks, Video carousel, Related searches"
woocommerce bug,Informational,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00",9,0.00,"Sitelinks, Video carousel, Related searches"
woocommerce fix,Informational,10,"1.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00",28,0.00,"Sitelinks, Video carousel, Related searches"
fix wordpress error,Informational,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",3,0.00,"Sitelinks, Video carousel, Discussions and forums, Related searches, Ads bottom"
woocommerce issue,Informational,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00",16,0.00,"Sitelinks, Video carousel, Related searches"
backend debugging,Informational,,,20,,"Sitelinks, Video carousel, Related searches"
php bug fix,Informational,,,19,,"Video carousel, Discussions and forums, Related searches"
aws,Navigational,368000,"0.16,0.20,0.20,0.20,0.16,0.16,0.16,0.16,0.16,0.20,1.00,0.24",100,9.13,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Knowledge panel, Related searches, Ads top, Ads bottom"
data science,Informational,301000,"0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.81,1.00",89,4.10,"Sitelinks, AI Overview, Video, People also ask, Related searches"
cloudflare,Navigational,246000,"0.24,0.24,0.24,0.20,0.24,0.24,0.44,0.29,0.36,0.36,0.29,1.00",93,2.91,"Sitelinks, Video, People also ask, Related searches, See results about"
computer science,Informational,246000,"0.04,0.04,0.04,0.04,0.03,0.04,0.02,0.02,0.04,0.04,0.81,1.00",91,7.09,"AI Overview, Video, Video carousel, People also ask, Related searches, Things to know"
java,"Informational, Navigational",201000,"0.16,0.20,0.20,0.20,0.20,0.16,0.20,0.16,0.16,0.20,0.16,1.00",100,2.49,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Discussions and forums, Related searches, See results about"
data,Informational,165000,"0.04,0.04,0.04,0.07,0.06,0.06,0.04,0.06,0.06,0.13,0.06,1.00",100,5.77,"Sitelinks, AI Overview, Instant answer, Video, People also ask, Knowledge panel, Related searches, Things to know"
dashboard,Informational,110000,"0.44,0.81,0.81,0.67,1.00,0.67,0.44,0.44,0.81,1.00,0.81,1.00",75,4.13,"AI Overview, Video, Video carousel, People also ask, Knowledge panel, Related searches, Things to know"
docker,Navigational,110000,"0.54,1.00,0.66,0.54,0.44,0.66,0.54,0.66,0.66,0.54,0.54,0.54",95,2.79,"Sitelinks, Video, Video carousel, People also ask, Related searches"
spreadsheets,"Informational, Transactional",110000,"0.45,0.67,0.45,0.36,0.54,0.54,0.30,0.54,0.45,1.00,0.67,0.82",97,2.15,"Image pack, Video, Video carousel, People also ask, Related searches"
sql,Informational,110000,"0.36,0.67,0.67,0.67,0.54,0.45,0.36,0.45,0.36,0.45,0.54,1.00",100,8.68,"AI Overview, Video, People also ask, Knowledge panel, Related searches, Things to know"
amazon web services,"Informational, Navigational",90500,"0.20,0.09,0.13,0.11,0.13,0.09,0.09,0.09,0.11,0.36,1.00,0.11",100,9.13,"Sitelinks, AI Overview, Video, People also ask, Knowledge panel, Related searches"
javascript,Informational,90500,"1.00,1.00,0.67,0.81,0.81,0.81,0.81,0.67,0.56,0.56,0.67,0.67",100,1.79,"AI Overview, Video, People also ask, Knowledge panel, Related searches, Things to know"
pandas,Informational,90500,"0.37,0.37,0.44,0.44,0.83,0.67,0.44,0.30,0.37,0.44,0.37,1.00",93,1.67,"Sitelinks, AI Overview, Image, Video, Video carousel, People also ask, Related searches, See results about, Things to know"
bug,Informational,74000,"0.54,0.54,0.66,0.81,0.66,0.81,0.66,1.00,0.81,0.66,0.81,0.81",76,1.41,"AI Overview, Image pack, Video, People also ask, Knowledge panel, Related searches, Things to know"
spreadsheet,Informational,74000,"0.37,0.67,0.67,1.00,0.67,0.67,0.44,0.44,0.67,0.67,0.44,0.44",99,2.15,"Image pack, Video, People also ask, Related searches, Things to know"
mysql,"Informational, Navigational",60500,"0.36,0.55,0.45,0.67,0.45,0.36,0.30,0.36,0.45,0.55,0.55,1.00",89,3.68,"Sitelinks, AI Overview, Video, People also ask, Related searches, Things to know"
postgresql,"Informational, Navigational",60500,"0.44,0.66,0.54,1.00,0.66,0.66,0.66,0.54,0.66,0.66,0.54,0.66",98,4.68,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches, See results about, Ads bottom"
trading,Informational,60500,"0.66,0.81,0.66,0.44,0.54,0.44,0.81,0.44,0.54,0.54,1.00,1.00",85,4.62,"AI Overview, Video, Video carousel, People also ask, Related searches, See results about, Things to know"
bugs,Informational,49500,"0.44,0.54,0.44,0.54,1.00,0.81,0.66,0.66,0.66,0.81,0.81,0.66",69,1.41,"AI Overview, Image, Video, Video carousel, People also ask, Knowledge panel, Related searches"
react,Navigational,49500,"0.81,0.81,0.67,0.67,0.67,0.67,0.67,0.54,0.44,0.54,0.54,1.00",100,2.89,"Sitelinks, Image, Video, People also ask, Related searches, Things to know, Ads top, Ads bottom"
fix,Informational,40500,"0.67,0.81,0.67,1.00,0.81,0.67,0.81,0.67,0.67,0.67,0.67,0.81",73,5.65,"AI Overview, Video, People also ask, Knowledge panel, Related searches"
lambda,Informational,40500,"0.67,0.67,1.00,0.83,1.00,0.83,0.54,0.83,0.54,0.83,1.00,0.83",100,2.44,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Related searches, See results about"
devops,Informational,33100,"0.67,0.67,0.67,0.81,0.67,0.67,0.67,1.00,0.81,0.67,0.81,0.81",100,7.69,"Sitelinks, AI Overview, Video, People also ask, Related searches, Things to know"
error,Informational,33100,"0.67,1.00,0.67,0.81,0.81,0.81,0.81,0.81,0.56,0.81,1.00,0.67",97,0.00,"AI Overview, Instant answer, Video, People also ask, Knowledge panel, Related searches, Things to know"
ocr,Informational,33100,"0.54,0.66,1.00,0.81,0.66,0.81,0.66,0.54,0.81,0.66,0.81,0.54",92,2.31,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches, Things to know"
data analytics,Informational,27100,"0.67,0.81,0.81,0.81,0.81,0.81,1.00,0.81,0.67,0.67,0.81,0.81",85,6.06,"Featured snippet, Sitelinks, Video, People also ask, Knowledge panel, Related searches"
elementor,Navigational,27100,"1.00,1.00,0.81,1.00,0.81,1.00,0.81,0.81,0.81,0.67,0.67,0.54",82,1.48,"Sitelinks, Video, Video carousel, People also ask, Knowledge panel, Top stories, Related searches, Things to know, Ads top, Ads bottom"
database,Informational,22200,"0.67,0.67,0.82,0.82,1.00,0.67,0.82,1.00,1.00,1.00,1.00,1.00",70,6.90,"Sitelinks, AI Overview, Video, People also ask, Knowledge panel, Related searches, Things to know"
etl,Informational,22200,"1.00,1.00,1.00,1.00,1.00,1.00,0.81,1.00,0.81,0.81,0.81,0.81",57,3.06,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Related searches, Ads bottom"
numpy,"Informational, Navigational",18100,"0.67,0.81,1.00,1.00,0.81,0.67,0.54,0.81,0.54,1.00,0.67,0.81",95,1.32,"Sitelinks, AI Overview, Video, People also ask, Related searches"
optimize,Informational,18100,"0.66,0.54,0.81,0.66,0.54,0.66,0.81,0.66,0.54,0.66,1.00,0.29",75,10.30,"AI Overview, Instant answer, Video, People also ask, Related searches"
problem solving,Informational,18100,"0.66,0.81,0.81,0.81,1.00,0.81,0.54,0.43,1.00,0.81,0.81,0.81",50,0.95,"Featured snippet, Sitelinks, Video, Video carousel, People also ask, Knowledge panel, Related searches, Things to know"
react js,Navigational,14800,"0.81,0.81,1.00,0.81,0.81,0.67,0.54,0.54,0.54,0.67,0.54,0.44",94,2.71,"Sitelinks, AI Overview, Video, People also ask, Knowledge panel, Related searches, Things to know"
cicd,Informational,12100,"0.66,0.44,0.36,0.54,0.54,0.66,1.00,0.81,0.81,0.66,0.44,0.44",50,6.39,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches"
computer vision,Informational,12100,"0.66,1.00,1.00,0.66,0.66,0.81,0.66,0.81,0.66,0.66,0.66,0.66",73,2.95,"Sitelinks, AI Overview, Video, People also ask, Knowledge panel, Related searches, Things to know"
ec2,Informational,9900,"0.66,0.66,0.66,0.66,0.81,0.66,0.66,0.54,0.54,0.54,1.00,0.54",52,4.32,"Sitelinks, AI Overview, Image, Video, Short videos, People also ask, Related searches, Things to know, Ads bottom"
errors,Informational,8100,"0.23,0.36,0.55,1.00,0.30,0.18,0.30,0.30,0.16,0.30,0.45,0.30",74,0.00,"Instant answer, Video, Video carousel, People also ask, Related searches, See results about"
reporting,Informational,8100,"0.66,0.81,0.81,0.44,0.81,0.54,0.66,0.81,0.54,1.00,0.66,1.00",55,4.48,"Video, Video carousel, People also ask, Knowledge panel, Related searches"
elementor pro,"Navigational, Transactional",6600,"0.67,0.81,1.00,1.00,0.81,0.81,0.81,1.00,1.00,0.81,0.67,0.67",79,2.23,"Sitelinks, Video, Video carousel, Related searches, Ads bottom"
sql database,Informational,6600,"1.00,1.00,1.00,1.00,1.00,0.82,0.67,0.82,0.67,1.00,0.67,0.44",66,5.39,"Sitelinks, Video, Video carousel, Short videos, People also ask, Knowledge panel, Related searches, See results about, Ads top"
debug,Informational,4400,"0.53,0.53,0.53,1.00,0.68,0.53,0.53,0.84,0.53,1.00,0.68,0.68",90,4.91,"AI Overview, Instant answer, Video, Video carousel, People also ask, Knowledge panel, Related searches, See results about, Things to know"
backtesting,Informational,3600,"0.54,1.00,0.65,0.54,0.65,0.54,0.81,0.65,0.81,0.81,0.81,1.00",60,2.05,"Sitelinks, AI Overview, Video, People also ask, Knowledge panel, Related searches, Things to know, Ads bottom"
debugging,Informational,3600,"0.66,0.52,0.52,1.00,0.66,0.66,0.52,0.66,0.66,0.82,0.82,1.00",57,4.91,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches, See results about, Things to know"
whatsapp api,Informational,3600,"1.00,0.65,0.65,0.81,0.81,1.00,1.00,0.65,0.65,0.54,0.81,0.65",71,5.83,"Sitelinks, AI Overview, Video, People also ask, Related searches, Ads top, Ads bottom"
data processing,Informational,2900,"0.80,0.80,0.80,1.00,1.00,1.00,0.80,0.80,0.80,0.80,1.00,1.00",35,5.74,"AI Overview, Video, Video carousel, People also ask, Related searches, Things to know"
java programming,Informational,2900,"0.55,1.00,0.65,1.00,0.42,0.65,0.42,0.82,0.55,0.65,0.55,0.36",83,2.07,"AI Overview, Video, Video carousel, People also ask, Knowledge panel, Discussions and forums, Related searches, Things to know"
telegram bot,Informational,2900,"0.81,1.00,0.43,0.65,0.43,0.65,0.65,0.54,0.54,0.65,0.43,0.54",52,2.29,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches"
html css,Informational,2400,"0.66,1.00,1.00,1.00,0.83,0.83,0.66,0.83,0.66,1.00,0.83,0.66",92,2.50,"AI Overview, Video, Video carousel, People also ask, Knowledge panel, Related searches, Things to know"
wordpress ecommerce,Informational,1900,"0.54,0.67,0.54,0.67,1.00,0.67,0.67,0.79,0.79,0.79,0.79,1.00",52,5.01,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches, Things to know"
wordpress elementor,Navigational,1600,"0.68,1.00,0.68,1.00,1.00,0.84,0.68,0.68,0.84,0.84,0.46,0.38",65,4.39,"Sitelinks, AI Overview, Video, Video carousel, Related searches, Ads bottom"
trading strategy,Informational,1300,"1.00,0.62,0.62,0.62,0.62,0.82,0.82,0.82,1.00,0.82,1.00,0.82",40,2.87,"Sitelinks, AI Overview, Video, Video carousel, Discussions and forums, Related searches, Ads bottom"
whatsapp bot,Informational,1300,"0.84,0.52,0.52,0.84,0.68,1.00,1.00,0.52,0.37,0.25,0.31,0.52",59,4.79,"Sitelinks, Video, Video carousel, People also ask, Related searches, Things to know, Ads top, Ads bottom"
whatsapp chatbot,Informational,880,"0.52,0.46,0.31,0.68,0.52,1.00,0.68,0.31,0.37,0.16,0.20,0.20",58,5.88,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches"
speed optimization,Informational,480,"0.13,0.13,0.10,0.36,0.20,0.20,0.13,1.00,1.00,0.45,0.67,0.05",84,6.19,"AI Overview, Video, Video carousel, People also ask, Related searches, Ads bottom, Ads middle"
stripe integration,Informational,480,"0.81,0.66,0.81,1.00,0.81,0.81,1.00,1.00,1.00,1.00,0.81,1.00",48,6.48,"Sitelinks, AI Overview, Video, People also ask, Related searches, Ads bottom"
woocommerce store,Navigational,320,"0.66,0.82,0.53,0.66,0.82,0.66,0.82,1.00,1.00,0.66,0.66,0.82",84,5.18,"Sitelinks, Video, Video carousel, People also ask, Related searches, Things to know"
bug fix,Informational,260,"0.23,0.67,0.36,0.44,1.00,0.67,1.00,0.82,0.54,1.00,0.54,0.82",37,0.00,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
bug fixes,Informational,260,"0.36,0.29,0.29,0.36,0.44,0.54,0.44,0.44,0.44,0.44,0.36,1.00",30,0.00,"Sitelinks, Instant answer, Image, Video, Video carousel, People also ask, Discussions and forums, Related searches"
database programming,Informational,260,"0.66,0.82,0.66,1.00,1.00,0.66,0.52,0.66,0.52,0.52,1.00,0.27",28,7.76,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches, See results about, Ads bottom"
elementor expert,Transactional,170,"0.36,0.28,0.36,0.36,0.28,0.28,0.44,0.54,1.00,0.82,0.23,0.13",28,29.40,"Sitelinks, Image pack, Video, People also ask, Related searches"
saas developer,Informational,170,"0.35,0.54,0.66,0.08,0.08,0.66,0.06,0.18,0.06,1.00,0.14,0.08",29,14.81,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches, Ads bottom"
fix code,Informational,140,"0.51,0.42,0.42,0.81,0.51,0.51,0.51,0.67,0.51,0.67,1.00,0.42",27,2.97,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches"
automated bot,Informational,110,"0.17,0.17,0.53,0.53,0.12,0.00,1.00,0.12,0.05,0.43,0.07,0.05",50,6.64,"Sitelinks, AI Overview, Video, People also ask, Related searches"
bug fixing,Informational,110,"0.52,0.09,0.43,0.52,0.28,0.15,0.09,0.28,0.15,0.33,0.81,1.00",37,4.75,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches, See results about"
fix bugs,Informational,110,"0.80,0.66,1.00,1.00,0.17,0.23,0.00,0.23,0.17,0.31,0.43,1.00",32,4.75,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Discussions and forums, Related searches"
script development,Informational,110,"0.21,0.34,1.00,0.34,0.53,0.34,0.28,0.34,0.21,0.34,0.28,0.28",20,5.24,"Sitelinks, AI Overview, Image, Video, Video carousel, People also ask, Related searches"
elementor errors,Informational,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",9,0.00,"Sitelinks, Video carousel, Related searches"
elementor issue,Informational,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",28,0.00,"Sitelinks, Video carousel, Related searches"
woocommerce error,Informational,0,"1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00",21,0.00,"Sitelinks, AI Overview, Video carousel, Related searches, Ads bottom"
